AssignID,EmpID,ProjectID,Role,HoursWorked
1,2897,48,Project Manager,120
2,8391,342,Business Analyst,135
3,5641,136,Developer,108
4,5416,49,Tech Lead,195
5,3079,453,Business Analyst,107
6,6064,403,QA Engineer,13
7,3688,315,Project Manager,89
8,2919,419,QA Engineer,127
9,8631,381,Business Analyst,142
10,8556,204,Developer,140
11,9549,56,Developer,187
12,7210,175,QA Engineer,100
13,5191,123,Project Manager,115
14,328,370,Tech Lead,39
15,6815,325,Developer,28
16,457,413,Project Manager,87
17,7845,160,Developer,181
18,9572,220,Developer,192
19,6716,82,Business Analyst,152
20,1005,38,Developer,34
21,5697,11,QA Engineer,87
22,9976,57,Tech Lead,51
23,6775,279,Business Analyst,151
24,4150,149,Developer,94
25,1018,86,Business Analyst,169
26,5962,396,Developer,192
27,5615,209,QA Engineer,70
28,7859,152,Developer,199
29,5816,377,Tech Lead,89
30,3677,14,Project Manager,188
31,2353,469,Project Manager,142
32,2597,491,Tech Lead,31
33,5358,386,Project Manager,23
34,9431,231,Developer,119
35,2896,46,Developer,99
36,9901,179,Business Analyst,113
37,591,427,QA Engineer,30
38,6936,28,QA Engineer,150
39,1927,126,Business Analyst,109
40,8039,235,QA Engineer,191
41,9633,422,Developer,169
42,8860,225,Developer,146
43,8908,84,Developer,153
44,713,402,Business Analyst,172
45,1778,399,Business Analyst,42
46,6278,443,Business Analyst,102
47,7673,3,Developer,192
48,9742,326,Tech Lead,33
49,1173,7,Developer,67
50,6965,82,Business Analyst,172
51,9297,293,Business Analyst,109
52,1024,205,Project Manager,75
53,7673,354,QA Engineer,40
54,1027,455,Developer,79
55,4148,440,Developer,59
56,2218,19,QA Engineer,98
57,2481,385,Tech Lead,91
58,6654,26,Developer,17
59,3152,183,Developer,91
60,1100,108,Project Manager,178
61,9735,267,Tech Lead,142
62,198,101,Developer,197
63,8882,156,Tech Lead,153
64,1635,497,Developer,85
65,1524,15,Business Analyst,100
66,239,354,QA Engineer,54
67,3574,382,Tech Lead,191
68,2413,320,QA Engineer,14
69,629,411,QA Engineer,191
70,89,335,QA Engineer,125
71,4826,348,Developer,72
72,905,214,Tech Lead,54
73,4375,90,QA Engineer,66
74,2506,412,Business Analyst,174
75,1081,183,QA Engineer,69
76,9927,347,Tech Lead,202
77,5134,342,Business Analyst,150
78,2562,251,Business Analyst,50
79,7819,23,Business Analyst,10
80,1676,109,Developer,10
81,6419,182,Tech Lead,104
82,6390,354,Project Manager,53
83,1490,262,Project Manager,81
84,7970,51,Developer,154
85,9929,43,Tech Lead,169
86,6880,292,Business Analyst,97
87,8009,366,Developer,29
88,8565,91,QA Engineer,124
89,8854,234,Business Analyst,204
90,1873,111,Tech Lead,56
91,7628,207,QA Engineer,151
92,4835,331,Tech Lead,27
93,3761,252,Project Manager,138
94,9450,346,Developer,69
95,1779,81,Business Analyst,83
96,7756,246,Tech Lead,97
97,1274,187,Developer,160
98,5661,219,Tech Lead,27
99,4266,273,Project Manager,163
100,9263,199,Tech Lead,137
101,5142,398,Project Manager,143
102,7452,189,Project Manager,163
103,6476,24,Developer,177
104,6645,168,Tech Lead,92
105,9530,444,Project Manager,145
106,2967,143,Tech Lead,32
107,6069,301,Business Analyst,96
108,6729,79,Tech Lead,198
109,6543,144,Business Analyst,42
110,4340,214,Tech Lead,174
111,7425,258,QA Engineer,43
112,386,452,Developer,130
113,2821,214,Developer,107
114,5681,297,Business Analyst,38
115,2959,154,Developer,28
116,6640,252,Project Manager,136
117,6938,304,Developer,144
118,7850,191,Tech Lead,170
119,6157,232,Tech Lead,77
120,666,70,QA Engineer,85
121,8802,9,Tech Lead,138
122,6588,335,Developer,30
123,7069,377,Business Analyst,185
124,1196,172,Project Manager,171
125,2818,350,QA Engineer,69
126,3159,194,Developer,196
127,969,417,Project Manager,115
128,6433,66,Developer,204
129,8783,257,QA Engineer,122
130,7632,219,Tech Lead,174
131,4135,22,Business Analyst,20
132,4690,325,QA Engineer,170
133,4093,120,Tech Lead,53
134,3594,382,QA Engineer,119
135,4174,86,Project Manager,193
136,9810,308,Business Analyst,64
137,4267,17,Tech Lead,207
138,517,175,Project Manager,26
139,6015,284,Project Manager,162
140,8333,414,Project Manager,193
141,7653,168,Developer,28
142,1542,151,Business Analyst,80
143,6828,311,Project Manager,178
144,8571,232,Developer,175
145,1128,182,QA Engineer,101
146,1371,258,QA Engineer,68
147,327,165,Project Manager,165
148,2721,290,Business Analyst,181
149,1780,186,Developer,205
150,9765,57,Developer,202
151,9226,8,Business Analyst,164
152,2099,199,Project Manager,109
153,3254,351,QA Engineer,160
154,1547,208,Business Analyst,107
155,579,158,Developer,26
156,4422,56,Developer,137
157,8113,48,Tech Lead,46
158,3598,192,Developer,153
159,1717,388,QA Engineer,33
160,7184,59,QA Engineer,53
161,7311,213,QA Engineer,115
162,3351,482,Tech Lead,136
163,1497,286,Developer,197
164,1685,449,Tech Lead,130
165,8731,463,Business Analyst,106
166,6326,132,Project Manager,106
167,6451,327,Project Manager,207
168,9565,470,Business Analyst,83
169,2766,452,Project Manager,28
170,8565,210,Project Manager,73
171,4700,171,Project Manager,58
172,9538,26,Business Analyst,59
